time,cw,cc,i,cw unscaled,cc unscaled,iunscaled
6/6/2016 14:30,-0.02657132,-0.030171797,-0.028986366,-0.088571067,-0.100572657,-0.09662122
6/6/2016 14:45,-0.026004643,-0.032319256,-0.030764671,-0.086682143,-0.107730853,-0.102548903
6/6/2016 15:00,-0.025723726,-0.031685755,-0.030240071,-0.085745753,-0.105619183,-0.100800237
6/6/2016 15:15,-0.02657132,-0.031954188,-0.030462359,-0.088571067,-0.10651396,-0.101541197
6/6/2016 15:30,-0.024309454,-0.031331424,-0.029946651,-0.081031513,-0.10443808,-0.09982217
6/6/2016 15:45,-0.026290403,-0.03222262,-0.030684647,-0.087634677,-0.107408733,-0.102282157
6/6/2016 16:00,-0.026004643,-0.03285612,-0.031209247,-0.086682143,-0.1095204,-0.104030823
6/6/2016 16:15,-0.025563893,-0.031868289,-0.030391227,-0.085212977,-0.10622763,-0.10130409
6/6/2016 16:30,-0.027820916,-0.031868289,-0.030391227,-0.092736387,-0.10622763,-0.10130409
6/6/2016 16:45,-0.027539999,-0.031245526,-0.029875519,-0.091799997,-0.104151753,-0.099585063
6/6/2016 17:00,-0.026411488,-0.031245526,-0.029875519,-0.088038293,-0.104151753,-0.099585063
6/6/2016 17:15,-0.027380167,-0.028378669,-0.027501482,-0.091267223,-0.094595563,-0.091671607
6/6/2016 17:30,-0.02681349,-0.034466714,-0.032542976,-0.0893783,-0.114889047,-0.108476587
6/6/2016 17:45,-0.02681349,-0.034466714,-0.032542976,-0.0893783,-0.114889047,-0.108476587
6/6/2016 18:00,-0.025684978,-0.032587688,-0.030986959,-0.085616593,-0.108625627,-0.103289863
6/6/2016 18:15,-0.027501252,-0.031954188,-0.030462359,-0.09167084,-0.10651396,-0.101541197
6/6/2016 18:30,-0.027215492,-0.034906943,-0.032907528,-0.090718307,-0.116356477,-0.10969176
6/6/2016 18:45,-0.026367897,-0.033027917,-0.031351512,-0.08789299,-0.110093057,-0.10450504
6/6/2016 19:00,-0.02608698,-0.030526127,-0.029279787,-0.0869566,-0.101753757,-0.09759929
6/6/2016 19:15,-0.026488982,-0.029903364,-0.028764078,-0.088296607,-0.09967788,-0.09588026
