----------------------------------------------
PZ-CW TotHead [m]: 
    2016/06/06 04:00:00 430.428750 
    2016/06/06 04:15:00 430.427000 
    2016/06/06 04:30:00 430.423500 
    2016/06/06 04:45:00 430.428750 
    2016/06/06 05:00:00 430.434000 
    2016/06/06 05:15:00 430.430750 
    2016/06/06 05:30:00 430.432500 
    2016/06/06 05:45:00 430.432250 
    2016/06/06 06:00:00 430.432250 
    2016/06/06 06:15:00 430.430750 
    2016/06/06 06:30:00 430.436250 
    2016/06/06 06:45:00 430.443250 
    2016/06/06 07:00:00 430.439500 
    2016/06/06 07:15:00 430.443250 
    2016/06/06 07:30:00 430.445000 
    2016/06/06 07:45:00 430.445250 
    2016/06/06 08:00:00 430.448500 
    2016/06/06 08:15:00 430.450250 
    2016/06/06 08:30:00 430.452000 
    2016/06/06 08:45:00 430.452500 
    2016/06/06 09:00:00 430.456000 
    2016/06/06 09:15:00 430.461250 
    2016/06/06 09:30:00 430.464750 
    2016/06/06 09:45:00 430.466500 
    2016/06/06 10:00:00 430.466500 
    2016/06/06 10:15:00 430.466500 
    2016/06/06 10:30:00 430.470000 
    2016/06/06 10:45:00 430.473750 
    2016/06/06 11:00:00 430.472000 
    2016/06/06 11:15:00 430.474000 
    2016/06/06 11:30:00 430.474000 
    2016/06/06 11:45:00 430.473500 
    2016/06/06 12:00:00 430.475500 
    2016/06/06 12:15:00 430.479250 
    2016/06/06 12:30:00 430.477250 
    2016/06/06 12:45:00 430.479000 
    2016/06/06 13:00:00 430.479250 
    2016/06/06 13:15:00 430.479000 
    2016/06/06 13:30:00 430.485000 
    2016/06/06 13:45:00 430.486750 
    2016/06/06 14:00:00 430.488000 
    2016/06/06 14:15:00 430.486500 
    2016/06/06 14:30:00 430.488500 
    2016/06/06 14:45:00 430.488500 
    2016/06/06 15:00:00 430.487000 
    2016/06/06 15:15:00 430.484750 
    2016/06/06 15:30:00 430.485000 
    2016/06/06 15:45:00 430.486750 
    2016/06/06 16:00:00 430.483500 
    2016/06/06 16:15:00 430.483750 
    2016/06/06 16:30:00 430.487000 
    2016/06/06 16:45:00 430.483500 
    2016/06/06 17:00:00 430.485250 
    2016/06/06 17:15:00 430.484000 
    2016/06/06 17:30:00 430.487250 
    2016/06/06 17:45:00 430.485500 
