----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/06 09:45:00 428.172590 
    2016/06/06 10:00:00 428.174340 
    2016/06/06 10:15:00 428.174670 
    2016/06/06 10:30:00 428.173750 
    2016/06/06 10:45:00 428.171750 
    2016/06/06 11:00:00 428.170840 
    2016/06/06 11:15:00 428.169090 
    2016/06/06 11:30:00 428.170250 
    2016/06/06 11:45:00 428.169920 
    2016/06/06 12:00:00 428.165250 
    2016/06/06 12:15:00 428.170000 
    2016/06/06 12:30:00 428.171670 
    2016/06/06 12:45:00 428.167920 
    2016/06/06 13:00:00 428.165000 
    2016/06/06 13:15:00 428.167590 
    2016/06/06 13:30:00 428.169670 
    2016/06/06 13:45:00 428.170000 
    2016/06/06 14:00:00 428.170590 
    2016/06/06 14:15:00 428.175250 
    2016/06/06 14:30:00 428.171420 
    2016/06/06 14:45:00 428.172340 
    2016/06/06 15:00:00 428.171170 
    2016/06/06 15:15:00 428.167920 
    2016/06/06 15:30:00 428.169090 
    2016/06/06 15:45:00 428.168500 
    2016/06/06 16:00:00 428.169090 
    2016/06/06 16:15:00 428.175250 
    2016/06/06 16:30:00 428.169090 
    2016/06/06 16:45:00 428.171170 
    2016/06/06 17:00:00 428.173500 
    2016/06/06 17:15:00 428.173250 
    2016/06/06 17:30:00 428.176170 
    2016/06/06 17:45:00 428.176170 
    2016/06/06 18:00:00 428.175250 
    2016/06/06 18:15:00 428.171750 
    2016/06/06 18:30:00 428.174090 
    2016/06/06 18:45:00 428.174090 
    2016/06/06 19:00:00 428.176170 
    2016/06/06 19:15:00 428.177590 
    2016/06/06 19:30:00 428.175000 
    2016/06/06 19:45:00 428.176420 
    2016/06/06 20:00:00 428.174670 
    2016/06/06 20:15:00 428.178500 
    2016/06/06 20:30:00 428.177000 
    2016/06/06 20:45:00 428.179420 
    2016/06/06 21:00:00 428.174750 
    2016/06/06 21:15:00 428.171750 
    2016/06/06 21:30:00 428.176750 
    2016/06/06 21:45:00 428.175590 
    2016/06/06 22:00:00 428.172340 
    2016/06/06 22:15:00 428.177340 
    2016/06/06 22:30:00 428.177670 
    2016/06/06 22:45:00 428.178250 
    2016/06/06 23:00:00 428.174670 
    2016/06/06 23:15:00 428.175840 
    2016/06/06 23:30:00 428.172340 
    2016/06/06 23:45:00 428.176170 
    2016/06/07 00:00:00 428.175250 
    2016/06/07 00:15:00 428.178500 
    2016/06/07 00:30:00 428.180250 
    2016/06/07 00:45:00 428.177590 
    2016/06/07 01:00:00 428.180590 
    2016/06/07 01:15:00 428.178500 
    2016/06/07 01:30:00 428.177590 
    2016/06/07 01:45:00 428.175000 
    2016/06/07 02:00:00 428.177340 
    2016/06/07 02:15:00 428.175590 
    2016/06/07 02:30:00 428.176170 
    2016/06/07 02:45:00 428.174420 
    2016/06/07 03:00:00 428.174420 
    2016/06/07 03:15:00 428.178250 
    2016/06/07 03:30:00 428.172340 
    2016/06/07 03:45:00 428.175000 
    2016/06/07 04:00:00 428.175000 
    2016/06/07 04:15:00 428.174750 
    2016/06/07 04:30:00 428.175590 
    2016/06/07 04:45:00 428.175340 
    2016/06/07 05:00:00 428.171170 
    2016/06/07 05:15:00 428.172670 
    2016/06/07 05:30:00 428.172670 
    2016/06/07 05:45:00 428.173840 
    2016/06/07 06:00:00 428.175920 
    2016/06/07 06:15:00 428.175920 
    2016/06/07 06:30:00 428.170920 
    2016/06/07 06:45:00 428.168000 
    2016/06/07 07:00:00 428.168000 
    2016/06/07 07:15:00 428.166250 
    2016/06/07 07:30:00 428.168590 
    2016/06/07 07:45:00 428.166840 
    2016/06/07 08:00:00 428.164500 
    2016/06/07 08:15:00 428.168000 
    2016/06/07 08:30:00 428.160420 
    2016/06/07 08:45:00 428.161000 
    2016/06/07 09:00:00 428.162750 
    2016/06/07 09:15:00 428.158670 
