----------------------------------------------
PZ-Bank TotHead [m]: 
    2016/06/07 07:45:00 429.013090 
    2016/06/07 08:00:00 429.013090 
    2016/06/07 08:15:00 429.014840 
    2016/06/07 08:30:00 429.011340 
    2016/06/07 08:45:00 429.011340 
    2016/06/07 09:00:00 429.009590 
    2016/06/07 09:15:00 429.011340 
    2016/06/07 09:30:00 429.009590 
    2016/06/07 09:45:00 429.007840 
    2016/06/07 10:00:00 429.009590 
    2016/06/07 10:15:00 429.007840 
    2016/06/07 10:30:00 429.007840 
    2016/06/07 10:45:00 429.009250 
    2016/06/07 11:00:00 429.009250 
    2016/06/07 11:15:00 429.007500 
    2016/06/07 11:30:00 429.007500 
    2016/06/07 11:45:00 429.005750 
    2016/06/07 12:00:00 429.005170 
    2016/06/07 12:15:00 429.006670 
    2016/06/07 12:30:00 429.005170 
    2016/06/07 12:45:00 429.005170 
    2016/06/07 13:00:00 429.006920 
    2016/06/07 13:15:00 429.005170 
    2016/06/07 13:30:00 429.003670 
    2016/06/07 13:45:00 429.002840 
    2016/06/07 14:00:00 429.006840 
    2016/06/07 14:15:00 429.008340 
    2016/06/07 14:30:00 429.010090 
    2016/06/07 14:45:00 429.010090 
    2016/06/07 15:00:00 429.010090 
    2016/06/07 15:15:00 429.007750 
    2016/06/07 15:30:00 429.007750 
    2016/06/07 15:45:00 429.011250 
    2016/06/07 16:00:00 429.011500 
    2016/06/07 16:15:00 429.013000 
