----------------------------------------------
PZ-In TotHead [m]: 
    2016/06/06 12:30:00 428.467833 
    2016/06/06 12:45:00 428.468250 
    2016/06/06 13:00:00 428.468250 
    2016/06/06 13:15:00 428.471583 
    2016/06/06 13:30:00 428.474750 
    2016/06/06 13:45:00 428.475500 
    2016/06/06 14:00:00 428.474917 
    2016/06/06 14:15:00 428.478500 
    2016/06/06 14:30:00 428.479083 
    2016/06/06 14:45:00 428.480250 
    2016/06/06 15:00:00 428.484000 
    2016/06/06 15:15:00 428.482417 
    2016/06/06 15:30:00 428.485917 
    2016/06/06 15:45:00 428.492000 
    2016/06/06 16:00:00 428.487250 
    2016/06/06 16:15:00 428.491083 
    2016/06/06 16:30:00 428.494000 
    2016/06/06 16:45:00 428.498000 
    2016/06/06 17:00:00 428.501500 
    2016/06/06 17:15:00 428.504000 
    2016/06/06 17:30:00 428.504833 
    2016/06/06 17:45:00 428.504167 
    2016/06/06 18:00:00 428.507500 
    2016/06/06 18:15:00 428.510667 
    2016/06/06 18:30:00 428.513667 
    2016/06/06 18:45:00 428.517000 
    2016/06/06 19:00:00 428.522250 
    2016/06/06 19:15:00 428.527167 
    2016/06/06 19:30:00 428.526000 
    2016/06/06 19:45:00 428.532083 
    2016/06/06 20:00:00 428.533250 
    2016/06/06 20:15:00 428.533250 
    2016/06/06 20:30:00 428.535750 
    2016/06/06 20:45:00 428.539583 
    2016/06/06 21:00:00 428.541750 
    2016/06/06 21:15:00 428.543917 
    2016/06/06 21:30:00 428.544417 
    2016/06/06 21:45:00 428.545000 
    2016/06/06 22:00:00 428.547167 
    2016/06/06 22:15:00 428.548333 
    2016/06/06 22:30:00 428.549500 
    2016/06/06 22:45:00 428.550667 
    2016/06/06 23:00:00 428.553583 
    2016/06/06 23:15:00 428.554750 
    2016/06/06 23:30:00 428.554750 
    2016/06/06 23:45:00 428.554750 
    2016/06/07 00:00:00 428.554750 
    2016/06/07 00:15:00 428.554750 
    2016/06/07 00:30:00 428.554167 
    2016/06/07 00:45:00 428.554750 
    2016/06/07 01:00:00 428.554750 
    2016/06/07 01:15:00 428.555333 
    2016/06/07 01:30:00 428.558500 
    2016/06/07 01:45:00 428.558500 
    2016/06/07 02:00:00 428.558083 
    2016/06/07 02:15:00 428.561250 
    2016/06/07 02:30:00 428.559250 
    2016/06/07 02:45:00 428.564000 
    2016/06/07 03:00:00 428.564000 
    2016/06/07 03:15:00 428.563167 
    2016/06/07 03:30:00 428.562667 
    2016/06/07 03:45:00 428.562500 
    2016/06/07 04:00:00 428.566417 
    2016/06/07 04:15:00 428.567500 
    2016/06/07 04:30:00 428.569500 
    2016/06/07 04:45:00 428.570833 
    2016/06/07 05:00:00 428.571500 
    2016/06/07 05:15:00 428.570000 
    2016/06/07 05:30:00 428.570167 
    2016/06/07 05:45:00 428.575083 
    2016/06/07 06:00:00 428.573500 
    2016/06/07 06:15:00 428.574083 
    2016/06/07 06:30:00 428.579417 
    2016/06/07 06:45:00 428.585500 
    2016/06/07 07:00:00 428.586500 
    2016/06/07 07:15:00 428.587833 
    2016/06/07 07:30:00 428.588000 
    2016/06/07 07:45:00 428.586417 
    2016/06/07 08:00:00 428.585500 
    2016/06/07 08:15:00 428.585500 
    2016/06/07 08:30:00 428.590583 
    2016/06/07 08:45:00 428.591750 
    2016/06/07 09:00:00 428.594250 
    2016/06/07 09:15:00 428.596833 
    2016/06/07 09:30:00 428.594500 
    2016/06/07 09:45:00 428.589750 
    2016/06/07 10:00:00 428.593083 
    2016/06/07 10:15:00 428.597583 
    2016/06/07 10:30:00 428.603250 
    2016/06/07 10:45:00 428.601833 
    2016/06/07 11:00:00 428.598167 
    2016/06/07 11:15:00 428.597000 
    2016/06/07 11:30:00 428.592917 
    2016/06/07 11:45:00 428.589250 
    2016/06/07 12:00:00 428.586500 
    2016/06/07 12:15:00 428.585667 
