----------------------------------------------
PZ-CC TotHead [m]: 
    2016/06/06 21:15:00 428.597250 
    2016/06/06 21:30:00 428.600500 
    2016/06/06 21:45:00 428.598750 
    2016/06/06 22:00:00 428.598250 
    2016/06/06 22:15:00 428.601500 
    2016/06/06 22:30:00 428.599500 
    2016/06/06 22:45:00 428.599500 
    2016/06/06 23:00:00 428.600000 
    2016/06/06 23:15:00 428.600000 
    2016/06/06 23:30:00 428.598250 
    2016/06/06 23:45:00 428.599750 
    2016/06/07 00:00:00 428.598250 
    2016/06/07 00:15:00 428.599750 
    2016/06/07 00:30:00 428.601500 
    2016/06/07 00:45:00 428.600000 
    2016/06/07 01:00:00 428.601250 
    2016/06/07 01:15:00 428.601500 
    2016/06/07 01:30:00 428.602000 
    2016/06/07 01:45:00 428.600000 
    2016/06/07 02:00:00 428.600750 
    2016/06/07 02:15:00 428.599250 
    2016/06/07 02:30:00 428.597250 
    2016/06/07 02:45:00 428.598500 
    2016/06/07 03:00:00 428.600250 
    2016/06/07 03:15:00 428.599750 
    2016/06/07 03:30:00 428.596750 
    2016/06/07 03:45:00 428.598500 
    2016/06/07 04:00:00 428.598500 
    2016/06/07 04:15:00 428.598250 
    2016/06/07 04:30:00 428.598750 
    2016/06/07 04:45:00 428.598500 
    2016/06/07 05:00:00 428.595500 
    2016/06/07 05:15:00 428.599000 
    2016/06/07 05:30:00 428.595250 
    2016/06/07 05:45:00 428.597250 
    2016/06/07 06:00:00 428.595250 
    2016/06/07 06:15:00 428.593500 
    2016/06/07 06:30:00 428.593250 
    2016/06/07 06:45:00 428.593500 
    2016/06/07 07:00:00 428.593500 
    2016/06/07 07:15:00 428.592500 
    2016/06/07 07:30:00 428.592500 
    2016/06/07 07:45:00 428.589000 
    2016/06/07 08:00:00 428.588000 
    2016/06/07 08:15:00 428.589750 
    2016/06/07 08:30:00 428.588000 
    2016/06/07 08:45:00 428.584500 
    2016/06/07 09:00:00 428.584500 
    2016/06/07 09:15:00 428.587250 
    2016/06/07 09:30:00 428.585500 
    2016/06/07 09:45:00 428.583500 
