----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/06 10:15:00 428.509670 
    2016/06/06 10:30:00 428.508750 
    2016/06/06 10:45:00 428.506750 
    2016/06/06 11:00:00 428.505840 
    2016/06/06 11:15:00 428.504090 
    2016/06/06 11:30:00 428.505250 
    2016/06/06 11:45:00 428.504920 
    2016/06/06 12:00:00 428.500250 
    2016/06/06 12:15:00 428.505000 
    2016/06/06 12:30:00 428.506670 
    2016/06/06 12:45:00 428.502920 
    2016/06/06 13:00:00 428.500000 
    2016/06/06 13:15:00 428.502590 
    2016/06/06 13:30:00 428.504670 
    2016/06/06 13:45:00 428.505000 
    2016/06/06 14:00:00 428.505590 
    2016/06/06 14:15:00 428.510250 
    2016/06/06 14:30:00 428.506420 
    2016/06/06 14:45:00 428.507340 
    2016/06/06 15:00:00 428.506170 
    2016/06/06 15:15:00 428.502920 
    2016/06/06 15:30:00 428.504090 
    2016/06/06 15:45:00 428.503500 
    2016/06/06 16:00:00 428.504090 
    2016/06/06 16:15:00 428.510250 
    2016/06/06 16:30:00 428.504090 
    2016/06/06 16:45:00 428.506170 
    2016/06/06 17:00:00 428.508500 
    2016/06/06 17:15:00 428.508250 
    2016/06/06 17:30:00 428.511170 
    2016/06/06 17:45:00 428.511170 
    2016/06/06 18:00:00 428.510250 
    2016/06/06 18:15:00 428.506750 
    2016/06/06 18:30:00 428.509090 
    2016/06/06 18:45:00 428.509090 
    2016/06/06 19:00:00 428.511170 
    2016/06/06 19:15:00 428.512590 
    2016/06/06 19:30:00 428.510000 
    2016/06/06 19:45:00 428.511420 
    2016/06/06 20:00:00 428.509670 
    2016/06/06 20:15:00 428.513500 
    2016/06/06 20:30:00 428.512000 
    2016/06/06 20:45:00 428.514420 
    2016/06/06 21:00:00 428.509750 
    2016/06/06 21:15:00 428.506750 
    2016/06/06 21:30:00 428.511750 
    2016/06/06 21:45:00 428.510590 
    2016/06/06 22:00:00 428.507340 
    2016/06/06 22:15:00 428.512340 
    2016/06/06 22:30:00 428.512670 
    2016/06/06 22:45:00 428.513250 
    2016/06/06 23:00:00 428.509670 
    2016/06/06 23:15:00 428.510840 
    2016/06/06 23:30:00 428.507340 
    2016/06/06 23:45:00 428.511170 
    2016/06/07 00:00:00 428.510250 
    2016/06/07 00:15:00 428.513500 
    2016/06/07 00:30:00 428.515250 
    2016/06/07 00:45:00 428.512590 
    2016/06/07 01:00:00 428.515590 
    2016/06/07 01:15:00 428.513500 
    2016/06/07 01:30:00 428.512590 
    2016/06/07 01:45:00 428.510000 
    2016/06/07 02:00:00 428.512340 
    2016/06/07 02:15:00 428.510590 
    2016/06/07 02:30:00 428.511170 
    2016/06/07 02:45:00 428.509420 
    2016/06/07 03:00:00 428.509420 
    2016/06/07 03:15:00 428.513250 
    2016/06/07 03:30:00 428.507340 
    2016/06/07 03:45:00 428.510000 
    2016/06/07 04:00:00 428.510000 
    2016/06/07 04:15:00 428.509750 
    2016/06/07 04:30:00 428.510590 
    2016/06/07 04:45:00 428.510340 
    2016/06/07 05:00:00 428.506170 
    2016/06/07 05:15:00 428.507670 
    2016/06/07 05:30:00 428.507670 
    2016/06/07 05:45:00 428.508840 
    2016/06/07 06:00:00 428.510920 
    2016/06/07 06:15:00 428.510920 
    2016/06/07 06:30:00 428.505920 
    2016/06/07 06:45:00 428.503000 
    2016/06/07 07:00:00 428.503000 
    2016/06/07 07:15:00 428.501250 
    2016/06/07 07:30:00 428.503590 
    2016/06/07 07:45:00 428.501840 
    2016/06/07 08:00:00 428.499500 
    2016/06/07 08:15:00 428.503000 
    2016/06/07 08:30:00 428.495420 
    2016/06/07 08:45:00 428.496000 
    2016/06/07 09:00:00 428.497750 
    2016/06/07 09:15:00 428.493670 
    2016/06/07 09:30:00 428.493670 
    2016/06/07 09:45:00 428.494840 
    2016/06/07 10:00:00 428.495420 
    2016/06/07 10:15:00 428.496590 
    2016/06/07 10:30:00 428.493670 
    2016/06/07 10:45:00 428.498000 
    2016/06/07 11:00:00 428.497420 
    2016/06/07 11:15:00 428.495670 
    2016/06/07 11:30:00 428.496250 
    2016/06/07 11:45:00 428.495090 
    2016/06/07 12:00:00 428.494500 
    2016/06/07 12:15:00 428.498340 
    2016/06/07 12:30:00 428.494500 
    2016/06/07 12:45:00 428.496250 
    2016/06/07 13:00:00 428.499170 
    2016/06/07 13:15:00 428.495090 
    2016/06/07 13:30:00 428.493590 
    2016/06/07 13:45:00 428.493920 
    2016/06/07 14:00:00 428.499090 
    2016/06/07 14:15:00 428.498250 
